../../results/03_align/SRR12475446	../../results/03_align/SRR12475447	../../results/03_align/SRR12475448	../../results/03_align/SRR12475449	../../results/03_align/SRR12475450	../../results/03_align/SRR12475451	../../results/03_align/SRR12475452	../../results/03_align/SRR12475453	../../results/03_align/SRR12475454	../../results/03_align/SRR12475455	../../results/03_align/SRR12475456	../../results/03_align/SRR12475468	../../results/03_align/SRR12475469	../../results/03_align/SRR12475470	../../results/03_align/SRR12475471	../../results/03_align/SRR12475472	../../results/03_align/SRR12475473	../../results/03_align/SRR12475474	../../results/03_align/SRR12475475	../../results/03_align/SRR12475476
raw total sequences:	28524	24930228	33967546	26988518	38143980	23156486	26447072	27330786	27465034	37637300	27362064	30416134	23345290	18842730	27314518	24749454	25758254	31446124	29246404	23675940
filtered sequences:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sequences:	28524	24930228	33967546	26988518	38143980	23156486	26447072	27330786	27465034	37637300	27362064	30416134	23345290	18842730	27314518	24749454	25758254	31446124	29246404	23675940
is sorted:	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1st fragments:	14262	12465114	16983773	13494259	19071990	11578243	13223536	13665393	13732517	18818650	13681032	15208067	11672645	9421365	13657259	12374727	12879127	15723062	14623202	11837970
last fragments:	14262	12465114	16983773	13494259	19071990	11578243	13223536	13665393	13732517	18818650	13681032	15208067	11672645	9421365	13657259	12374727	12879127	15723062	14623202	11837970
reads mapped:	20211	21198487	28679494	23012811	33083865	19770796	22530456	23405170	22830837	32174613	23408156	25850641	19828918	15992372	23532943	20925701	21837638	26890427	24768268	20267271
reads mapped and paired:	18258	19076072	25706994	20800806	30171776	17838040	20314016	21186778	20477590	29007218	21109802	23243872	17880374	14369254	21391128	18849422	19608900	24292496	22301622	18297814
reads unmapped:	8313	3731741	5288052	3975707	5060115	3385690	3916616	3925616	4634197	5462687	3953908	4565493	3516372	2850358	3781575	3823753	3920616	4555697	4478136	3408669
reads properly paired:	16930	17742952	23801234	19486066	28620834	16604530	18885760	20075954	18937168	27080584	19714606	21581068	16751106	13295376	20208264	17660994	18265038	22963248	20855742	17275728
reads paired:	28524	24930228	33967546	26988518	38143980	23156486	26447072	27330786	27465034	37637300	27362064	30416134	23345290	18842730	27314518	24749454	25758254	31446124	29246404	23675940
reads duplicated:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reads MQ0:	59	101133	136214	140106	205226	95452	119381	110263	122132	139746	115197	119974	115723	66370	118840	92228	91439	118339	107441	88108
reads QC failed:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
non-primary alignments:	668	807636	1142781	1266263	1792182	822106	978646	959145	1096022	1172927	976133	1138678	1124041	617815	1103275	872039	826959	1041127	950709	837949
supplementary alignments:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
total length:	2783141	2469910867	3364799367	2674281180	3784305492	2293030796	2617915988	2707609192	2720906713	3727974189	2710041198	3012231614	2312813758	1865689129	2707358786	2449914504	2549740806	3117879153	2897616880	2344716227
total first fragment length:	1401328	1241272173	1690207278	1343595100	1899595569	1152923836	1316479243	1359943296	1367083623	1875120068	1362281403	1514413587	1161954867	937803812	1360309123	1231394499	1281347732	1565020824	1455024122	1179186693
total last fragment length:	1381813	1228638694	1674592089	1330686080	1884709923	1140106960	1301436745	1347665896	1353823090	1852854121	1347759795	1497818027	1150858891	927885317	1347049663	1218520005	1268393074	1552858329	1442592758	1165529534
bases mapped:	1978785	2102633790	2844361767	2283120510	3286165214	1959998704	2232920674	2321594813	2264239452	3190499805	2321149378	2563084876	1966966571	1585324233	2335334079	2073926097	2164407460	2669553558	2456804863	2009590149
bases mapped (cigar):	1962381	2086249016	2821135917	2266028253	3262381904	1944178534	2214372152	2303335052	2245825518	3166435975	2303303741	2542924568	1952586097	1572463310	2319094407	2056729352	2146689275	2649979871	2436825809	1995340908
bases trimmed:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bases duplicated:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mismatches:	11958	13827822	18675925	14265526	20825891	12734202	14529487	15076013	14889296	20907284	15105180	16428797	12785481	10145274	14911005	13283325	13991762	17364474	15935222	13140844
error rate:	6.093618e-03	6.628078e-03	6.620002e-03	6.295388e-03	6.383646e-03	6.549914e-03	6.561448e-03	6.545297e-03	6.629765e-03	6.602781e-03	6.558049e-03	6.460592e-03	6.547973e-03	6.451835e-03	6.429667e-03	6.458470e-03	6.517833e-03	6.552681e-03	6.539335e-03	6.585764e-03
average length:	97	99	99	99	99	99	98	99	99	99	99	99	99	99	99	98	98	99	99	99
average first fragment length:	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100
average last fragment length:	97	99	99	99	99	98	98	99	99	98	99	98	99	98	99	98	98	99	99	98
maximum length:	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
maximum first fragment length:	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
maximum last fragment length:	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
average quality:	35.8	36.4	36.4	36.4	36.5	36.4	36.4	36.4	36.4	36.4	36.4	36.4	36.5	36.4	36.4	36.4	36.4	36.5	36.4	36.4
insert size average:	669.8	677.8	642.3	568.1	564.3	686.9	620.6	570.3	619.6	700.7	706.0	610.3	559.3	678.6	587.0	546.5	648.4	653.0	604.1	684.9
